"country","capacity_mw","latitude","longitude","commissioning_year","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","primary_fuelBiomass","primary_fuelCoal","primary_fuelCogeneration","primary_fuelGas","primary_fuelGeothermal","primary_fuelHydro","primary_fuelNuclear","primary_fuelOil","primary_fuelOther","primary_fuelPetcoke","primary_fuelSolar","primary_fuelStorage","primary_fuelWaste","primary_fuelWave.and.Tidal","primary_fuelWind"
5,4.675,-28.4684,-65.7797,2006,18.193,93.802,79.157,332.386,268.987,3.661,218.361,2.49,12.3,124.15,3.06,21.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,60,-38.2143,-67.1908,1996,568.027004,1262.6,765.1002778,364.396,9.244,159.938,234.168,195.69,200.87,228.48,222,206.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,17.28,-31.3992,-64.2006,1953,323.635,234.927,76.495,114.181,40.876,0.051,113.355,45.68,41.26,51.23,48.3,43.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,620,-38.7872,-62.2536,1990,1191.114,1162.92,430.809,464.374,861.616,0,1101.259,3405.62,2246.4,2938.82,2044.7,3213.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,540,-38.5127,-68.6048,2000,1794.554,1468.888333,609.58,701.195,0,361.029,352.989,1762.32,2199.26,2602.24,1933.58,3024.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,673.6,-34.9027,-58.7334,1998,2687.64598,2156.08,0,593.241002,1688.797,1192.592,2981.217,2977.46,2653.48,3762.09,2461.76,3772.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,280,-31.7112,-60.7811,2013,465.545,180.892,505.791,765.50325,768.069,843.327995,89.159,1769,1496.13,1503.72,1342.39,1568.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,643,-24.7456,-65.0513,1999,79,376.966999,1367.800034,1344.215,2311.885018,2074.497,2751.173004,2708.72,3286.43,3215.66,2412.23,3601.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,361,-24.6894,-65.0425,1993,303.057,451,827.53,1047.995003,837.74,1208.391,1864.732,1629.31,1550.47,1498.37,1547.98,1871.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,32,-27.7528,-64.2655,2005,27.71,-0.04,65.878,52.785,2.072,-0.48,43.339,201.81,124.6,293.03,188.02,179.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,30.44,-22.3497,-63.7664,2010,0,76.894,1.345,158.762,161.449,96.214,226.763,3.84,110.1,148.36,3.41,137.91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,25,-34.7208,-58.3881,2014,47.207,70.42,0,0,11.396,0.233,102.726,17.55,87.62,211.51,16.87,113.26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,524,-34.6268,-58.5438,2012,3509.115021,3413.179022,3495.568,3993.958,5825.790031,5289.831986,3878.238965,2111.84,2762.51,3270.72,1831.66,2934.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,868.2,-24.6894,-65.0425,2009,2333,1928.719984,3478.767014,0,1803.314,2838.64399,3928.947,3605.49,3827.71,4863.57,3191.29,4862.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,121.4,-31.5192,-68.9814,2009,31.026,24.258,3.343,86.885,52.234,50.485,437.359,341.9,340.96,423.27,489.01,339.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,-29.1578,-67.5069,1992,656.445,1301.635041,1014.127,1655.060966,1300.073,521,662.304,2.33,7.64,117,7.62,22.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2.372,-25.6669,-54.0419,1960,20.364,165.986,0,-104.467,9.16,2.399,3.16,31.71,10.64,144.56,13.39,10.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,141.02,-25.9913,-54.6278,1990,72.14,195.109,1.932,82.406,11.984,25.321,2.028,629.71,964.85,696.07,392.48,789.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,16.56,-45.8467,-67.4964,2003,196.487002,185.147,0,10.113,0,0.231,30.547,70.16,45.42,145.69,1.68,104.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1.4,-27.4708,-58.8042,2013,-0.66,46.726,65.878,35.4,17.638,0.80289,101.801,31.72,8.58,145.12,16.43,6.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1982.2,-34.626,-58.3393,1984,6362.81004,3834.528,4663.18,3312,5924.063889,6617.25395,6951.6,10811.36,10229.49,10801.55,8472.46,10273.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17.94,-33.0349,-68.7971,1969,464.43,485,666.425,324.443,0,311.203,208.256,37.47,86.24,232.92,17.76,100.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
