country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
ARG,164.55,-34.9027,-58.7334,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921.64
ARG,280,-31.7112,-60.7811,Gas,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1568.28
ARG,643,-24.7456,-65.0513,Gas,1999.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3601.45
ARG,361,-24.6894,-65.0425,Coal,1993.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871.05
ARG,32,-27.7528,-64.2655,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.23
ARG,30.44,-22.3497,-63.7664,Oil,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.91
ARG,25,-34.7208,-58.3881,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.26
ARG,524,-34.6268,-58.5438,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2934.93
ARG,868.2,-24.6894,-65.0425,Gas,2008.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4862.8
ARG,865.14,-32.5778,-60.791,Gas,2008.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4845.66
ARG,121.4,-31.5192,-68.9814,Hydro,2009,NA,NA,NA,NA,NA,NA,NA,341.9,340.96,423.27,489.01,339.93
ARG,5,-29.1578,-67.5069,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.65
ARG,2,-31.9881,-68.5402,Solar,NA,NA,NA,NA,NA,NA,NA,NA,4.26,4.24,3.86,3.82,4.26
ARG,5.78,-38.9121,-67.9427,Hydro,1954,NA,NA,NA,NA,NA,NA,NA,11.1,11.37,15.66,13.32,11.1
ARG,2.372,-25.6669,-54.0419,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.74
ARG,141.02,-25.9913,-54.6278,Gas,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789.85
ARG,16.56,-45.8467,-67.4964,Wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.06
ARG,1.4,-27.4708,-58.8042,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34
ARG,1982.2,-34.626,-58.3393,Coal,1983.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10273.7
ARG,17.94,-33.0349,-68.7971,Gas,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.48
ARG,5.052,-30.7636,-64.7538,Oil,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.88
ARG,26,-32.1613,-64.1537,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.62
ARG,15,-43.0907,-65.2298,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95
ARG,6.3,-38.8706,-70.5753,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.54
ARG,15,-27.0922,-54.8625,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95
ARG,20,-34.0414,-60.1297,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61
ARG,19.2,-28.4431,-62.8569,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.98
ARG,11.5,-28.4431,-62.8569,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1
ARG,20,-41.1497,-71.2633,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61
ARG,15.62,-32.6103,-62.6864,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.76
ARG,49.8,-35.1364,-60.4311,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.93
ARG,5,-34.1636,-59.7683,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.65
ARG,19.2,-28.4706,-65.7647,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.98
ARG,5,-38.0528,-70.6136,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.65
ARG,18,-29.8883,-61.9297,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.55
ARG,19.4,-27.2369,-61.1939,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.89
ARG,10,-29.1581,-67.5072,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3
ARG,5,-38.9133,-67.9414,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.65
ARG,15.3,-33.9222,-61.0769,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.31
ARG,41.78,-32.4767,-58.2672,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.01
ARG,20,-27.4708,-58.8042,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61
ARG,13.2,-38.6871,-62.3961,Coal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.41
ARG,567,-34.8597,-57.9557,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3175.77
ARG,16.5,-30.055,-59.5294,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.75
ARG,30,-26.1764,-58.2094,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.91
ARG,23.49,-35.0347,-62.9981,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.42
ARG,13,-29.1583,-59.2728,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.89
ARG,120,-26.8666,-65.2247,Gas,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.12
ARG,4,-23.9078,-61.8342,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.12
ARG,7.04,-28.4733,-65.7275,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.89
ARG,24.5,-33.2425,-62.395,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
ARG,15,-25.9564,-60.6204,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95
ARG,22,-34.5708,-60.9161,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.67
ARG,40.4,-34.9344,-58.016,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.03
ARG,19.2,-29.3811,-66.8325,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.98
ARG,10,-29.3808,-66.8319,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3
ARG,7,-25.1286,-58.2597,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.71
ARG,10.4,-37.0781,-57.8181,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.25
ARG,23.37,-37.0781,-57.8181,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.89
ARG,6,-27.0289,-58.6997,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.18
ARG,15,-40.8421,-68.0869,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95
ARG,15.002,-34.8578,-61.5206,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.96
ARG,15.686,-35.1917,-59.0808,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.06
